Mueslimaker,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Let us add an attribute portion? {Small, Medium, Large} So that we can recommend the portion size based on weight, exercise routine etc...",,,,,,,,,,,,,,,,,,,,,,,
"0 = M, 1 = F",,,,,,Ordinal Scale 1-10,,,,,,,,,,,,,,,,,,,
Gender,Age,Weight (kg),Weekday,Disease,Exercise (#days/week),Oats,Cornflakes,Crunchy,Peanuts,Almonds,Walnuts,Macadamia,Pecan nuts,Cashews,Chia seeds,Sunflower seeds,Pumpkin seeds,Raisins,Coconut flakes,Cocoa beans,Protein powder,Cacao,Cinnamon,Vanilla,Dry fruit
1,30,64,,None,2,9,5,5,7,6,3,4,6,6,2,3,5,3,8,2,9,1,4,8,8
1,44,58,,Gluten,4,1,6,10,5,8,8,9,7,5,8,2,1,8,3,5,5,10,2,4,10
1,40,73,,None,3,1,2,1,6,8,3,10,7,4,2,9,8,4,8,3,5,9,10,6,4
1,63,48,,Diabetes,7,3,10,8,8,7,3,7,3,4,6,4,3,10,9,10,5,7,8,9,2
0,59,82,,Peanuts,4,4,1,1,1,3,7,2,2,10,2,9,6,8,6,2,9,1,7,8,2
0,25,76,,Almonds,4,9,4,5,5,1,2,3,1,1,8,10,10,8,1,4,10,8,10,9,8
0,44,95,,None,2,3,8,2,7,10,6,1,7,9,3,9,2,8,1,1,5,3,2,10,10
0,33,102,,None,0,9,10,2,3,7,10,8,1,2,5,1,1,10,5,5,1,7,5,6,8
1,16,45,,Diabetes,1,7,8,6,8,2,3,7,10,10,3,2,2,8,1,2,8,2,6,10,4
1,22,52,,Blueberry,1,1,6,6,5,2,7,3,4,9,6,2,3,5,4,1,3,8,5,7,7
0,17,65,,Peanuts,3,10,1,1,1,7,10,4,5,8,1,7,6,4,2,5,7,5,10,6,10
0,19,71,,Walnut,0,3,1,5,9,1,1,1,8,6,8,6,6,6,5,5,6,6,3,2,8
0,50,68,,None,1,6,8,8,3,8,10,4,7,10,3,4,6,2,2,6,6,4,1,5,8
0,66,59,,None,1,2,3,3,3,10,10,2,6,1,3,1,6,9,5,8,3,4,2,8,8
1,26,42,,Coconut,3,3,9,9,2,6,4,9,10,4,7,8,9,9,9,6,5,10,3,3,6
0,35,88,,None,1,1,3,7,9,10,10,1,4,2,1,5,7,5,8,6,1,10,9,5,6
1,80,61,,Gluten,3,1,7,8,7,9,2,6,9,6,7,9,10,2,2,4,1,5,5,8,9
0,44,97,,Diabetes,2,7,5,2,3,1,2,6,7,1,5,1,5,2,7,9,6,1,5,1,5
1,67,62,,None,3,3,5,2,5,4,1,7,2,9,5,7,1,4,8,10,4,6,5,4,1
0,39,75,,None,2,5,10,6,5,10,5,9,5,6,7,6,4,2,4,3,10,10,10,10,1
0,58,93,,None,2,8,5,1,8,4,9,2,9,8,3,3,2,5,6,4,3,6,8,6,8
0,23,60,,None,2,7,10,10,2,5,5,8,0,0,0,0,0,10,0,0,0,5,5,5,8
1,66,66,Weekday,None,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,66,65,,None,0,5,7,10,4,9,10,10,10,10,5,5,8,10,10,7,1,7,5,7,10
0,66,66,Weekend,None,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,32,58,Weekend,None,0,1,1,8,7,5,7,2,2,9,4,4,8,1,6,1,1,4,7,7,2
0,18,56,,None,6,8,5,10,0,0,0,10,10,0,0,0,0,10,0,0,7,10,0,8,8
0,37,66,,None,5,8,0,8,0,8,8,8,8,0,8,0,0,8,0,0,8,8,10,8,8
1,55,67,,None,0,8,10,10,0,0,0,0,0,0,10,0,10,10,9,5,0,7,8,8,10
1,29,50,,Peanuts,7,3,10,8,0,7,0,7,3,7,6,4,7,10,9,10,7,9,8,9,10
0,59,100,,Peanuts,0,0,10,10,10,10,10,10,10,10,0,0,0,0,10,0,0,10,10,10,0
1,25,50,,Almonds,5,9,7,7,5,1,2,3,1,1,8,10,10,8,1,4,10,8,10,9,8
0,44,60,,None,2,3,8,2,7,10,6,1,7,9,3,9,2,8,1,1,5,8,8,10,10
1,20,45,,None,3,7,8,6,0,2,3,7,10,10,0,2,2,8,1,2,0,2,10,0,10
1,22,52,,None,6,8,5,8,8,8,8,8,8,0,8,9,8,8,8,8,10,8,0,8,0
0,14,37,,None,1,0,10,0,0,0,0,0,0,0,0,0,0,10,10,0,0,10,10,10,0
0,10,35,,None,4,7,10,9,0,7,0,8,0,0,0,0,0,9,10,0,0,10,8,10,0
0,50,68,,None,3,10,0,9,0,9,0,0,8,0,8,7,6,0,8,0,7,9,8,5,8
0,66,80,,Diabetes,1,8,3,10,0,0,0,0,0,0,0,0,0,9,0,8,0,8,8,8,8
1,8,30,,None,3,3,9,9,2,6,8,0,0,0,0,0,0,0,9,0,0,10,8,8,0
0,80,70,,Diabetes,0,7,0,8,0,8,8,8,0,0,0,8,9,10,0,0,0,10,9,0,10
1,80,61,,Gluten,3,1,7,8,7,9,2,6,0,0,7,9,10,8,2,4,1,5,5,8,9
0,44,97,,None,2,7,5,2,3,1,2,6,7,1,5,1,5,2,7,9,6,1,5,1,5
1,23,76,,Nuts,2,4,7,9,1,2,1,4,5,2,8,6,4,8,7,3,8,2,3,4,9
0,23,64,,None,0,7,4,8,1,8,7,6,5,4,7,3,5,1,4,3,2,8,7,4,5
