Day,Oats,Cornflakes,Crunchy,Peanuts,Almonds,Walnuts,Macadamia,Pecan nuts,Cashews,Chia seeds,Sunflower seeds,Pumpkin seeds,Raisins,Coconut flakes,Cocoa beans,Protein powder,Cacao,Cinnamon,Vanilla,Dry fruit
0,97.96666666666667,97.39999999999999,97.0,99.3,99.6,99.26666666666667,98.96666666666667,99.13333333333333,98.86666666666667,98.96666666666667,99.53333333333333,99.6,98.9,99.3,99.13333333333333,99.4,99.66666666666667,99.73333333333333,99.7,99.63333333333333
1,95.83333333333334,95.16666666666667,93.89999999999999,98.5,98.73333333333333,98.46666666666667,98.23333333333333,98.43333333333332,98.33333333333333,98.3,99.13333333333333,99.13333333333333,97.96666666666667,98.63333333333333,98.36666666666667,98.93333333333332,99.4,99.26666666666667,99.36666666666667,99.16666666666667
2,92.30000000000001,92.73333333333333,91.43333333333334,97.39999999999999,97.76666666666667,97.5,97.46666666666667,97.26666666666667,96.96666666666667,98.1,98.56666666666666,98.43333333333332,96.86666666666667,97.63333333333334,97.66666666666667,98.4,99.03333333333333,98.93333333333332,98.93333333333332,98.9
3,88.73333333333333,90.8,88.13333333333333,96.5,97.0,96.5,95.63333333333334,96.23333333333333,96.33333333333334,97.06666666666666,98.2,97.66666666666667,96.06666666666666,96.93333333333334,96.8,97.63333333333334,98.7,98.63333333333333,98.6,98.43333333333332
4,86.0,88.3,85.3,94.83333333333334,96.03333333333333,96.0,94.6,95.39999999999999,95.5,96.3,97.43333333333334,96.89999999999999,95.06666666666666,96.46666666666667,96.2,96.66666666666667,98.36666666666667,98.26666666666667,98.16666666666667,98.13333333333333
5,83.16666666666667,86.23333333333333,82.33333333333334,94.13333333333334,94.96666666666667,94.86666666666666,93.36666666666666,94.66666666666667,94.16666666666667,95.26666666666667,97.13333333333334,96.2,93.93333333333334,95.39999999999999,95.7,96.13333333333334,98.0,97.93333333333332,97.86666666666667,97.76666666666667
6,80.60000000000001,82.76666666666667,80.06666666666666,92.80000000000001,93.33333333333333,94.06666666666666,91.96666666666667,93.46666666666667,93.53333333333333,94.69999999999999,96.56666666666666,95.7,93.7,94.86666666666666,95.53333333333333,95.03333333333333,97.56666666666666,97.63333333333334,97.39999999999999,97.26666666666667
7,78.0,80.73333333333333,77.0,91.96666666666667,92.30000000000001,93.0,91.3,92.7,92.73333333333333,93.8,96.06666666666666,95.16666666666667,92.36666666666666,94.36666666666666,95.1,94.43333333333334,97.36666666666667,97.39999999999999,97.1,96.86666666666667
8,74.9,78.3,74.43333333333332,91.26666666666667,91.3,92.30000000000001,90.73333333333333,91.86666666666666,91.96666666666667,93.46666666666667,95.26666666666667,94.36666666666666,91.83333333333333,93.30000000000001,94.1,93.56666666666666,97.03333333333333,97.1,96.73333333333333,96.5
9,73.03333333333333,75.66666666666667,71.26666666666667,90.2,90.66666666666666,91.46666666666667,90.10000000000001,90.96666666666667,91.3,92.73333333333333,94.83333333333334,93.89999999999999,90.73333333333333,92.53333333333333,93.63333333333334,92.5,96.63333333333334,96.8,96.23333333333333,96.26666666666667
10,69.69999999999999,72.89999999999999,68.0,89.46666666666667,89.86666666666666,90.4,89.13333333333333,90.26666666666667,90.03333333333333,91.96666666666667,94.13333333333334,93.30000000000001,90.06666666666666,91.8,92.53333333333333,91.4,96.33333333333334,96.43333333333334,95.7,95.83333333333334
11,67.10000000000001,69.73333333333333,65.83333333333333,88.3,88.23333333333333,89.76666666666667,88.83333333333333,89.2,89.06666666666668,91.43333333333334,93.30000000000001,92.66666666666666,89.33333333333333,90.73333333333333,91.96666666666667,91.26666666666667,96.0,96.23333333333333,95.5,95.56666666666666
12,63.800000000000004,67.4,63.56666666666667,87.43333333333332,86.76666666666667,88.4,88.06666666666668,88.33333333333333,88.23333333333333,90.5,92.76666666666667,92.06666666666666,88.7,90.03333333333333,91.10000000000001,90.2,95.66666666666667,96.06666666666666,95.23333333333333,95.23333333333333
13,61.4,65.53333333333333,60.06666666666667,86.86666666666667,85.96666666666667,87.2,87.36666666666667,87.73333333333333,87.26666666666667,89.4,92.26666666666667,91.4,88.26666666666667,89.2,90.13333333333333,88.86666666666667,95.33333333333334,95.83333333333334,94.93333333333334,95.03333333333333
14,58.43333333333334,62.56666666666667,57.56666666666666,85.76666666666667,85.03333333333333,86.23333333333333,86.06666666666666,86.83333333333333,86.36666666666667,88.63333333333333,91.7,90.73333333333333,87.7,88.73333333333333,89.23333333333333,88.16666666666667,95.0,95.5,94.69999999999999,94.56666666666666
15,55.766666666666666,60.4,54.63333333333333,84.16666666666667,84.23333333333333,85.13333333333334,85.1,86.06666666666666,85.13333333333334,88.06666666666668,91.10000000000001,90.03333333333333,87.0,88.36666666666667,88.66666666666667,87.33333333333333,94.56666666666666,95.39999999999999,94.43333333333334,94.26666666666667
16,53.46666666666666,57.06666666666666,51.0,83.86666666666667,83.16666666666667,84.83333333333334,84.3,85.0,84.03333333333333,87.0,90.3,89.23333333333333,85.63333333333333,88.03333333333333,87.96666666666667,86.46666666666667,94.19999999999999,94.86666666666666,94.0,93.8
17,51.56666666666667,54.733333333333334,48.266666666666666,83.2,82.23333333333333,84.03333333333333,83.43333333333334,83.93333333333334,83.5,86.2,90.03333333333333,88.8,85.13333333333334,87.43333333333332,87.4,85.43333333333332,93.93333333333334,94.6,93.63333333333334,93.46666666666667
18,48.333333333333336,52.2,45.233333333333334,82.23333333333333,81.33333333333333,83.16666666666667,82.63333333333334,82.83333333333334,82.69999999999999,85.23333333333333,89.46666666666667,88.56666666666668,84.3,86.43333333333332,86.8,84.5,93.73333333333333,94.13333333333334,93.36666666666666,93.2
19,45.5,49.9,41.66666666666667,81.16666666666667,80.7,82.13333333333334,81.26666666666667,82.1,82.1,84.7,88.5,87.66666666666667,82.76666666666667,85.66666666666667,85.96666666666667,83.73333333333333,93.46666666666667,93.7,93.0,92.63333333333334
20,42.233333333333334,46.5,38.3,79.76666666666667,79.63333333333334,81.16666666666667,80.33333333333333,80.86666666666666,80.9,84.3,87.7,86.66666666666667,81.89999999999999,84.26666666666667,85.66666666666667,82.76666666666667,93.23333333333333,93.36666666666666,92.63333333333334,92.33333333333333
21,39.5,43.93333333333334,36.0,78.26666666666667,78.63333333333333,80.10000000000001,79.26666666666667,79.7,79.80000000000001,83.56666666666666,87.43333333333332,86.36666666666667,80.93333333333334,83.83333333333334,85.33333333333334,82.06666666666666,92.9,93.03333333333333,92.43333333333334,91.93333333333334
22,37.03333333333333,41.03333333333333,32.766666666666666,77.66666666666666,77.73333333333333,78.8,78.03333333333333,78.8,78.7,82.5,86.46666666666667,85.7,80.16666666666666,82.89999999999999,84.93333333333334,81.33333333333333,92.53333333333333,92.56666666666666,92.0,91.60000000000001
23,33.900000000000006,38.53333333333334,30.466666666666665,76.63333333333333,76.76666666666667,78.33333333333333,77.4,77.86666666666666,78.16666666666666,81.89999999999999,85.63333333333333,85.36666666666667,79.2,81.66666666666667,84.33333333333334,80.66666666666666,92.03333333333333,92.23333333333333,91.63333333333334,91.23333333333333
24,32.33333333333333,35.699999999999996,28.499999999999996,76.1,75.93333333333334,77.73333333333333,76.5,76.83333333333333,77.2,81.36666666666666,85.2,84.76666666666667,78.46666666666667,81.13333333333334,83.5,80.03333333333333,91.66666666666666,91.76666666666667,91.36666666666666,90.9
25,29.799999999999997,33.6,25.733333333333334,75.3,74.96666666666667,76.93333333333334,75.66666666666667,75.9,76.1,80.66666666666666,84.83333333333334,84.23333333333333,78.0,80.30000000000001,82.63333333333334,79.10000000000001,91.46666666666667,91.46666666666667,91.06666666666666,90.46666666666667
26,28.133333333333333,31.0,22.933333333333334,74.3,74.23333333333333,75.96666666666667,75.0,75.1,75.36666666666667,80.03333333333333,84.0,83.8,77.46666666666667,80.0,82.1,78.10000000000001,91.13333333333333,91.16666666666666,90.66666666666666,90.26666666666667
27,25.766666666666666,27.900000000000002,20.333333333333332,73.5,73.43333333333332,75.23333333333333,74.16666666666667,74.53333333333333,74.53333333333333,79.13333333333334,83.36666666666666,83.06666666666666,75.9,79.10000000000001,81.3,77.56666666666666,90.83333333333333,90.96666666666667,90.3,89.9
28,23.133333333333333,24.46666666666667,16.900000000000002,72.5,72.56666666666666,74.3,73.13333333333333,73.2,73.4,78.5,82.56666666666666,82.56666666666666,74.8,78.33333333333333,81.10000000000001,76.76666666666667,90.53333333333333,90.63333333333333,89.76666666666667,89.46666666666667
29,21.066666666666666,21.633333333333333,14.6,71.7,71.46666666666667,73.36666666666667,72.13333333333334,72.36666666666667,72.76666666666667,77.9,81.76666666666667,82.16666666666667,74.3,77.8,80.63333333333334,75.93333333333334,90.23333333333333,90.3,89.4,89.16666666666667
30,17.7,17.466666666666665,12.6,70.23333333333333,70.6,72.2,70.83333333333334,71.2,71.2,77.06666666666668,81.3,81.83333333333334,73.9,76.8,79.46666666666667,74.9,89.93333333333334,89.8,89.06666666666668,88.9
